"","title","author","subject","abstract","meta"
"1","Stepping into the Right Shoes: The Effects of User-Matched Avatar Ethnicity and Gender on Sense of Embodiment in Virtual Reality","Tiffany D. Do, Camille Isabella Protko, Ryan P. McMahan","Human-Computer Interaction (cs.HC)","In many consumer virtual reality (VR) applications, users embody predefined characters that offer minimal customization options, frequently emphasizing storytelling over user choice. We explore whether matching a user's physical characteristics, specifically ethnicity and gender, with their virtual self-avatar affects their sense of embodiment in VR. We conducted a 2 x 2 within-subjects experiment (n=32) with a diverse user population to explore the impact of matching or not matching a user's self-avatar to their ethnicity and gender on their sense of embodiment. Our results indicate that matching the ethnicity of the user and their self-avatar significantly enhances sense of embodiment regardless of gender, extending across various aspects, including appearance, response, and ownership. We also found that matching gender significantly enhanced ownership, suggesting that this aspect is influenced by matching both ethnicity and gender. Interestingly, we found that matching ethnicity specifically affects self-location while matching gender specifically affects one's body ownership.","Mon, 5 Feb 2024 18:36:11 UTC (6,885 KB)[v2] Tue, 6 Feb 2024 19:45:52 UTC (6,885 KB)[v3] Sat, 10 Feb 2024 19:47:12 UTC (6,885 KB)"
"2","Recent Innovations in Footwear Sensors: Role of Smart Footwear in Healthcare -- A Survey","Pradyumna G. R., Roopa B. Hegde, Bommegowda K. B., Anil Kumar Bhat, Ganesh R. Naik, Amit N. Pujari","Computers and Society (cs.CY)","Smart shoes have ushered in a new era of personalised health monitoring and assistive technology. The shoe leverages technologies such as Bluetooth for data collection and wireless transmission and incorporates features such as GPS tracking, obstacle detection, and fitness tracking. This article provides an overview of the current state of smart shoe technology, highlighting the integration of advanced sensors for health monitoring, energy harvesting, assistive features for the visually impaired, and deep learning for data analysis. The study discusses the potential of smart footwear in medical applications, particularly for patients with diabetes, and the ongoing research in this field. Current footwear challenges are also discussed, including complex construction, poor fit, comfort, and high cost.","Wed, 3 Jan 2024 12:26:49 UTC (1,237 KB)[v2] Tue, 6 Feb 2024 10:35:03 UTC (827 KB)"
"3","Instilling Multi-round Thinking to Text-guided Image Generation","Lidong Zeng, Zhedong Zheng, Yinwei Wei, Tat-seng Chua","Computer Vision and Pattern Recognition (cs.CV)","This paper delves into the text-guided image editing task, focusing on modifying a reference image according to user-specified textual feedback to embody specific attributes. Despite recent advancements, a persistent challenge remains that the single-round generation often overlooks crucial details, particularly in the realm of fine-grained changes like shoes or sleeves. This issue compounds over multiple rounds of interaction, severely limiting customization quality. In an attempt to address this challenge, we introduce a new self-supervised regularization, \ie, multi-round regularization, which is compatible with existing methods. Specifically, the multi-round regularization encourages the model to maintain consistency across different modification orders. It builds upon the observation that the modification order generally should not affect the final result. Different from traditional one-round generation, the mechanism underpinning the proposed method is the error amplification of initially minor inaccuracies in capturing intricate details. Qualitative and quantitative experiments affirm that the proposed method achieves high-fidelity editing quality, especially the local modification, in both single-round and multiple-round generation, while also showcasing robust generalization to irregular text inputs. The effectiveness of our semantic alignment with textual feedback is further substantiated by the retrieval improvements on FahisonIQ and Fashion200k.","Tue, 16 Jan 2024 16:19:58 UTC (7,944 KB)[v2] Sat, 9 Mar 2024 15:52:05 UTC (14,047 KB)"
"4","In-plane Density Gradation of Shoe Midsoles for Optimized Cushioning Performance","Kazi Zahir Uddin (1), Hai Anh Nguyen (1 and 2), Thanh T. Nguyen (2), Mitja Trkov (1), George Youssef (3), Behrad Koohbor (1 and 4) ((1) Department of Mechanical Engineering, Rowan University, NJ, USA, (2) Department of Mathematics, Rowan University, NJ, USA, (3) Experimental Mechanics Laboratory, Department of Mechanical Engineering, San Diego State University, CA, USA (4) Advanced Materials and Manufacturing Institute, Rowan University, NJ, USA)","Materials Science (cond-mat.mtrl-sci)","Midsoles are important components in footwear as they provide shock absorption and stability, thereby improving comfort and effectively preventing certain foot and ankle injuries. A rationally tailored midsole can potentially mitigate plantar pressure, improving performance and comfort levels. Despite the importance of midsole design, the potential of using in-plane density gradation in midsole has been rarely explored in earlier studies. The present work investigates the effectiveness of in-plane density gradation in shoe midsoles using a new class of polyurea foams as the material candidate. Their excellent cushioning properties justify the use of polyurea foams. Different polyurea foam densities, ranging from 95 to 350 kg/m3 are examined and tested to construct density-dependent correlative mathematical relations required for the optimization process. An optimization framework is then created to allocate foam densities at certain plantar zones based on the required cushioning performance constrained by the local pressures. The interior-point algorithm was used to solve the constrained optimization problem. The optimization algorithm introduces a novel approach, utilizing the maximum specific energy absorption as the objective function. The optimization process identifies specific foam densities at various plantar regions for maximum biomechanical energy dissipation without incurring additional weight penalties. Our results suggest midsole design can benefit from horizontal (in-plane) density gradation, leading to potential weight reduction and localized cushioning improvements. With local plantar peak pressure data analysis, the optimization results indicate low-density polyurea foams (140 kg/m3) for central and lateral phalanges, whereas stiffer foams (185-230 kg/m3) are identified as suitable candidates for metatarsal and arch regions in an in-plane density graded midsole design.","Sat, 13 Jan 2024 00:36:35 UTC (780 KB)"
"5","What Else Would I Like? A User Simulator using Alternatives for Improved Evaluation of Fashion Conversational Recommendation Systems","Maria Vlachou, Craig Macdonald","Information Retrieval (cs.IR)","In Conversational Recommendation Systems (CRS), a user can provide feedback on recommended items at each interaction turn, leading the CRS towards more desirable recommendations. Currently, different types of CRS offer various possibilities for feedback, i.e., natural language feedback, or answering clarifying questions. In most cases, a user simulator is employed for training as well as evaluating the CRS. Such user simulators typically critique the current retrieved items based on knowledge of a single target item. Still, evaluating systems in offline settings with simulators suffers from problems, such as focusing entirely on a single target item (not addressing the exploratory nature of a recommender system), and exhibiting extreme patience (consistent feedback over a large number of turns). To overcome these limitations, we obtain extra judgements for a selection of alternative items in common CRS datasets, namely Shoes and Fashion IQ Dresses. Going further, we propose improved user simulators that allow simulated users not only to express their preferences about alternative items to their original target, but also to change their mind and level of patience. In our experiments using the relative image captioning CRS setting and different CRS models, we find that using the knowledge of alternatives by the simulator can have a considerable impact on the evaluation of existing CRS models, specifically that the existing single-target evaluation underestimates their effectiveness, and when simulated users are allowed to instead consider alternatives, the system can rapidly respond to more quickly satisfy the user.","Thu, 11 Jan 2024 09:37:32 UTC (413 KB)"
"6","Grasping, Part Identification, and Pose Refinement in One Shot with a Tactile Gripper","Joyce Xin-Yan Lim, Quang-Cuong Pham","Robotics (cs.RO)","The rise in additive manufacturing comes with unique opportunities and challenges. Rapid changes to part design and massive part customization distinctive to 3D-Print (3DP) can be easily achieved. Customized parts that are unique, yet exhibit similar features such as dental moulds, shoe insoles, or engine vanes could be industrially manufactured with 3DP. However, the opportunity for massive part customization comes with unique challenges for the existing production paradigm of robotics applications, as the current robotics paradigm for part identification and pose refinement is repetitive, where data-driven and object-dependent approaches are often used. Thus, a bottleneck exists in robotics applications for 3DP parts where massive customization is involved, as it is difficult for feature-based deep learning approaches to distinguish between similar parts such as shoe insoles belonging to different people. As such, we propose a method that augments patterns on 3DP parts so that grasping, part identification, and pose refinement can be executed in one shot with a tactile gripper. We also experimentally evaluate our approach from three perspectives, including real insertion tasks that mimic robotic sorting and packing, and achieved excellent classification results, a high insertion success rate of 95%, and a sub-millimeter pose refinement accuracy.","Fri, 29 Dec 2023 15:34:39 UTC (7,976 KB)"
"7","Understanding Inter-Session Intentions via Complex Logical Reasoning","Jiaxin Bai, Chen Luo, Zheng Li, Qingyu Yin, Yangqiu Song","Artificial Intelligence (cs.AI)","Understanding user intentions is crucial for enhancing product recommendations, navigation suggestions, and query reformulations. However, user intentions can be complex, involving multiple sessions and attribute requirements connected by logical operators such as And, Or, and Not. For example, a user may search for Nike or Adidas running shoes across various sessions, with a preference for the color purple. In another case, a user may have purchased a mattress in a previous session and is now seeking a corresponding bed frame without intending to buy another mattress. Prior research on session understanding has not sufficiently addressed how to make product or attribute recommendations for such complex intentions. In this paper, we introduce the task of logical session complex query answering, where sessions are treated as hyperedges of items, and we formulate the problem of complex intention understanding as a task of logical session complex queries answering (LS-CQA) on an aggregated hypergraph of sessions, items, and attributes. The proposed task is a special type of complex query answering task with sessions as ordered hyperedges. We also propose a new model, the Logical Session Graph Transformer (LSGT), which captures interactions among items across different sessions and their logical connections using a transformer structure. We analyze the expressiveness of LSGT and prove the permutation invariance of the inputs for the logical operators. We evaluate LSGT on three datasets and demonstrate that it achieves state-of-the-art results.","Thu, 21 Dec 2023 14:03:30 UTC (364 KB)"
"8","Bootstrap Masked Visual Modeling via Hard Patches Mining","Haochen Wang, Junsong Fan, Yuxi Wang, Kaiyou Song, Tiancai Wang, Xiangyu Zhang, Zhaoxiang Zhang","Computer Vision and Pattern Recognition (cs.CV)","Masked visual modeling has attracted much attention due to its promising potential in learning generalizable representations. Typical approaches urge models to predict specific contents of masked tokens, which can be intuitively considered as teaching a student (the model) to solve given problems (predicting masked contents). Under such settings, the performance is highly correlated with mask strategies (the difficulty of provided problems). We argue that it is equally important for the model to stand in the shoes of a teacher to produce challenging problems by itself. Intuitively, patches with high values of reconstruction loss can be regarded as hard samples, and masking those hard patches naturally becomes a demanding reconstruction task. To empower the model as a teacher, we propose Hard Patches Mining (HPM), predicting patch-wise losses and subsequently determining where to mask. Technically, we introduce an auxiliary loss predictor, which is trained with a relative objective to prevent overfitting to exact loss values. Also, to gradually guide the training procedure, we propose an easy-to-hard mask strategy. Empirically, HPM brings significant improvements under both image and video benchmarks. Interestingly, solely incorporating the extra loss prediction objective leads to better representations, verifying the efficacy of determining where is hard to reconstruct. The code is available at this https URL.","Thu, 21 Dec 2023 10:27:52 UTC (13,062 KB)"
"9","Variable Chaplygin Gas: Contraining parameters using FRBs","Geetanjali Sethi, Udish Sharma, Nadia Makhijani","Cosmology and Nongalactic Astrophysics (astro-ph.CO)","We investigate the cosmological constraints on the Variable Chaplygin gas model with the latest observational data from the Fast Radio Bursts and SNeIa (Pantheon+SHOES). The Variable Chaplygin gas model is shown to be compatible with Type Ia Supernovae and Fast Radio Burts. We have obtained tighter constraints on cosmological parameters Bs and n, using the the FRB data set. By using the Markov chain Monte Carlo (MCMC) method on the SNeIa data set, we obtain Bs=0.1956 +- 0.1047 , n= 1.3581 +- 1.1678 and H0= 70.3902 +- 0.6381 and we obtain Bs= 0.1780 +-0.1069 , n= 1.2633+- 1.2433 and H0=70.397 +- 0.6597 from the FRB data set. We are able to get a good agreement between the H0 values from the two data sets.","Tue, 5 Dec 2023 00:57:35 UTC (196 KB)"
"10","Unveiling $Ω_{\rm m0}$ independently: a journey and consistency quest with first-order perturbation theory","Bikash R. Dinda","Cosmology and Nongalactic Astrophysics (astro-ph.CO)","This study combines cosmic chronometer (CC) Hubble parameter data with growth rate (f) observations to constrain the $\Omega_{\rm m0}$ parameter. Utilizing a consistency relation independent of cosmological models, we employ Gaussian process regression to reconstruct Hubble parameter and growth rate values. The resulting $\Omega_{\rm m0}h^2$ constraint is $\Omega_{\rm m0}h^2=0.139\pm0.017$. Incorporating $H_0$ measurements, we find $\Omega_{\rm m0}$ values from CC data ($0.308\pm0.057$), tip of the Red Giant Branch ($0.285\pm0.038$), and SHOES measurements ($0.259\pm0.033$). Interestingly, a higher mean $H_0$ correlates with a lower mean $\Omega_{\rm m0}$. In summary, our cosmological model-independent approach offers valuable constraints on $\Omega_{\rm m0}$, affirming the consistency of FLRW and Newtonian perturbation theory.","Wed, 22 Nov 2023 16:16:42 UTC (46 KB)"
